"","tract","hhs","medhhinc","civpop","prophealth"
"183","Census Tract 1505.01; Cook County; Illinois",1496,122434,3854,0.951
"184","Census Tract 1505.02; Cook County; Illinois",1536,72500,3953,0.863
"185","Census Tract 1506; Cook County; Illinois",1432,81923,4223,0.91
"186","Census Tract 1507; Cook County; Illinois",1382,100862,4453,0.872
"187","Census Tract 1508; Cook County; Illinois",1618,85714,4668,0.763
"188","Census Tract 1510.01; Cook County; Illinois",886,93879,2816,0.83
"189","Census Tract 1510.02; Cook County; Illinois",1572,75893,4892,0.736
"190","Census Tract 1511; Cook County; Illinois",1855,77521,5447,0.775
"191","Census Tract 1512; Cook County; Illinois",1334,88939,4056,0.841
"192","Census Tract 1601; Cook County; Illinois",1024,107137,2757,0.944
"193","Census Tract 1602; Cook County; Illinois",1276,124364,3327,0.977
"194","Census Tract 1603; Cook County; Illinois",1883,77721,3606,0.927
"195","Census Tract 1604; Cook County; Illinois",2101,72325,5171,0.845
"196","Census Tract 1605.01; Cook County; Illinois",1312,73946,3270,0.851
"197","Census Tract 1605.02; Cook County; Illinois",1542,100147,4012,0.836
"198","Census Tract 1606.01; Cook County; Illinois",1488,83333,3003,0.959
"199","Census Tract 1606.02; Cook County; Illinois",1576,84955,3757,0.928
"200","Census Tract 1607; Cook County; Illinois",2460,92614,6099,0.936
"201","Census Tract 1608; Cook County; Illinois",1863,82691,5236,0.81
"202","Census Tract 1609; Cook County; Illinois",1089,114861,2420,0.949
"203","Census Tract 1610; Cook County; Illinois",800,102159,1986,0.9
"204","Census Tract 1611; Cook County; Illinois",758,158393,2024,0.984
"205","Census Tract 1612; Cook County; Illinois",1097,70391,2873,0.885
"206","Census Tract 1613; Cook County; Illinois",1557,53969,3725,0.865
"207","Census Tract 1701; Cook County; Illinois",1146,46571,1935,0.937
"208","Census Tract 1702; Cook County; Illinois",1216,105855,3752,0.944
"209","Census Tract 1703; Cook County; Illinois",1821,85774,4977,0.898
"210","Census Tract 1704; Cook County; Illinois",1666,103016,3989,0.897
"211","Census Tract 1705; Cook County; Illinois",2066,87786,5161,0.951
"212","Census Tract 1706; Cook County; Illinois",948,76346,2490,0.89
"213","Census Tract 1707; Cook County; Illinois",1167,82868,3260,0.93
"214","Census Tract 1708; Cook County; Illinois",1461,64769,4009,0.874
"215","Census Tract 1709; Cook County; Illinois",652,68500,1970,0.705
"216","Census Tract 1710; Cook County; Illinois",2751,81950,6829,0.928
"217","Census Tract 1711; Cook County; Illinois",1305,92383,4103,0.894
"218","Census Tract 1801; Cook County; Illinois",2198,83920,6450,0.934
"219","Census Tract 1901; Cook County; Illinois",808,61250,2338,0.835
"220","Census Tract 1902; Cook County; Illinois",1599,80576,5858,0.786
"221","Census Tract 1903; Cook County; Illinois",2008,69309,5289,0.856
"222","Census Tract 1904.01; Cook County; Illinois",1278,92639,4119,0.854
"223","Census Tract 1904.02; Cook County; Illinois",1783,56523,4896,0.862
"224","Census Tract 1906.01; Cook County; Illinois",998,71176,3986,0.808
"225","Census Tract 1906.02; Cook County; Illinois",1587,61308,5331,0.868
"226","Census Tract 1907.01; Cook County; Illinois",866,64063,2835,0.871
"227","Census Tract 1907.02; Cook County; Illinois",1505,50457,4707,0.794
